1880,201483
1881,192696
1882,221533
1883,216945
1884,243463
1885,240854
1886,255317
1887,247396
1888,299475
1889,288947
1890,301401
1891,286673
1892,334375
1893,325222
1894,338691
1895,351023
1896,357485
1897,346958
1898,381459
1899,339234
1900,450296
1901,345817
1902,386735
1903,381205
1904,403489
1905,423937
1906,428462
1907,465395
1908,488652
1909,511230
1910,590717
1911,644279
1912,988064
1913,1137108
1914,1416331
1915,1832472
1916,1934435
1917,2006787
1918,2171171
1919,2110264
1920,2262705
1921,2334488
1922,2289200
1923,2302512
1924,2381673
1925,2333334
1926,2295922
1927,2319230
1928,2260773
1929,2191954
1930,2223111
1931,2103958
1932,2110985
1933,1999042
1934,2076448
1935,2089571
1936,2077311
1937,2130323
1938,2212260
1939,2203241
1940,2302361
1941,2436023
1942,2731426
1943,2822095
1944,2689804
1945,2652673
1946,3195038
1947,3602002
1948,3452269
1949,3484543
1950,3504130
1951,3684164
1952,3798049
1953,3851855
1954,3980407
1955,4012933
1956,4121130
1957,4200097
1958,4131802
1959,4156576
1960,4154809
1961,4140160
1962,4035499
1963,3958969
1964,3887976
1965,3626317
1966,3475867
1967,3395323
1968,3379149
1969,3476552
1970,3607798
1971,3432829
1972,3143875
1973,3017577
1974,3040567
1975,3020069
1976,3035135
1977,3176974
1978,3174315
1979,3327391
1980,3444418
1981,3458968
1982,3507375
1983,3462465
1984,3487484
1985,3567742
1986,3555473
1987,3604086
1988,3693102
1989,3843384
1990,3950720
1991,3894143
1992,3840017
1993,3769139
1994,3716629
1995,3661216
1996,3646119
1997,3624565
1998,3676838
1999,3692153
2000,3777666
2001,3741011
2002,3735651
2003,3799547
2004,3817903
2005,3841440
2006,3952231
2007,3993206
2008,3925486
2009,3814539
2010,3689517
2011,3650434
2012,3648441
2013,3634744
2014,3692930
